ID,RequiredArenaRating,ArenaBracket,Flags,MinFactionID,MinReputation,RequiredAchievement,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemCount[0],ItemCount[1],ItemCount[2],ItemCount[3],ItemCount[4],CurrencyID[0],CurrencyID[1],CurrencyID[2],CurrencyID[3],CurrencyID[4],CurrencyCount[0],CurrencyCount[1],CurrencyCount[2],CurrencyCount[3],CurrencyCount[4]
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,26045,26044,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,26045,26044,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,26044,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,26045,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,83619,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,139365,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,111492,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,278815,0,0,0,0
53,0,0,0,0,0,0,24579,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,24581,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,24581,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,24579,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,24581,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,102,0,0,0,0
69,0,0,0,0,0,0,24579,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,24581,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,24579,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,318750,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,2500,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,382500,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,14000,0,0,0,0
100,0,0,0,0,0,0,24245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,24245,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,24245,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,24245,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,283050,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,12000,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,9000,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,5000,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,29000,0,0,0,0
